Date,Price,Open,High,Low,Vol.,Change %,Currency,Currency_Change
10/31/2022,"4,330.49","4,216.80","4,335.85","4,204.90",2.06B,2.80%,18.592,0.06%
10/28/2022,"4,212.53","4,275.33","4,276.99","4,207.51",920.95M,-1.67%,18.5813,-0.09%
10/27/2022,"4,283.98","4,341.96","4,353.76","4,248.49",2.03B,-1.33%,18.5974,0.03%
10/26/2022,"4,341.87","4,367.45","4,394.80","4,317.78",1.88B,-0.21%,18.5911,0.01%
10/25/2022,"4,350.99","4,355.82","4,405.77","4,305.45",2.44B,0.02%,18.5895,-0.08%
10/24/2022,"4,350.04","4,307.23","4,388.59","4,307.23",2.23B,1.19%,18.6036,0.08%
10/21/2022,"4,298.90","4,276.72","4,322.97","4,251.18",2.25B,0.58%,18.5884,0.01%
10/20/2022,"4,274.27","4,267.53","4,329.41","4,246.88",3.42B,0.36%,18.5868,-0.01%
10/19/2022,"4,258.81","4,229.54","4,309.63","4,213.78",3.01B,0.96%,18.5887,0.05%
10/18/2022,"4,218.22","4,254.81","4,318.47","4,173.89",3.64B,-0.01%,18.5794,0.10%
10/17/2022,"4,218.54","3,964.45","4,230.64","3,964.45",3.38B,6.73%,18.561,0.01%
10/14/2022,"3,952.71","3,920.20","3,975.61","3,920.20",2.12B,1.77%,18.5585,0.20%
10/13/2022,"3,883.81","3,854.39","3,912.92","3,840.11",1.98B,1.06%,18.5218,-0.19%
10/12/2022,"3,843.10","3,914.57","3,931.68","3,834.82",2.24B,-1.71%,18.5571,-0.16%
10/11/2022,"3,910.04","3,928.37","3,948.65","3,893.82",2.43B,-0.27%,18.5875,0.07%
10/10/2022,"3,920.71","3,921.88","3,953.52","3,900.74",1.96B,0.14%,18.5737,0.06%
10/07/2022,"3,915.29","3,916.81","3,947.04","3,890.88",2.20B,0.23%,18.562,-0.05%
10/06/2022,"3,906.31","3,864.67","3,922.08","3,851.48",2.47B,2.18%,18.5719,0.07%
10/05/2022,"3,823.04","3,821.67","3,851.72","3,749.57",2.65B,0.88%,18.5595,-0.04%
10/04/2022,"3,789.62","3,774.58","3,832.50","3,731.67",2.65B,1.87%,18.5668,0.13%
10/03/2022,"3,720.08","3,473.97","3,721.13","3,473.97",2.25B,7.59%,18.5428,0.23%
09/30/2022,"3,457.55","3,443.91","3,468.95","3,406.45",1.74B,0.50%,18.5,0.02%
09/29/2022,"3,440.42","3,515.23","3,542.32","3,324.66",2.19B,-1.39%,18.4961,-0.04%
09/28/2022,"3,489.01","3,548.77","3,584.91","3,485.62",2.14B,-1.99%,18.504,0.38%
09/27/2022,"3,559.92","3,542.28","3,623.75","3,542.28",2.85B,0.78%,18.4332,0.00%
09/26/2022,"3,532.52","3,556.28","3,587.68","3,477.47",2.18B,-0.65%,18.4327,0.11%
09/23/2022,"3,555.67","3,593.61","3,619.02","3,545.02",1.84B,-0.72%,18.4131,0.50%
09/22/2022,"3,581.47","3,523.68","3,618.21","3,510.20",2.99B,1.75%,18.3212,-0.01%
09/21/2022,"3,519.73","3,555.96","3,584.33","3,498.84",2.65B,-1.22%,18.323,0.12%
09/20/2022,"3,563.07","3,482.01","3,564.86","3,400.24",3.68B,3.56%,18.3015,0.12%
09/19/2022,"3,440.71","3,679.45","3,687.15","3,440.71",3.02B,-6.19%,18.2803,0.14%
09/16/2022,"3,667.90","3,643.15","3,711.13","3,601.29",4.32B,0.43%,18.2543,-0.05%
09/15/2022,"3,652.35","3,779.30","3,815.55","3,648.20",3.58B,-3.05%,18.2638,0.17%
09/14/2022,"3,767.06","3,739.11","3,767.06","3,570.75",3.26B,0.51%,18.2331,-0.05%
09/13/2022,"3,748.02","4,070.56","4,115.58","3,748.02",6.59B,-6.88%,18.243,0.15%
09/12/2022,"4,025.14","3,907.52","4,028.47","3,891.56",5.64B,4.11%,18.2152,-0.10%
09/09/2022,"3,866.13","3,796.49","3,903.73","3,778.99",5.28B,2.66%,18.2334,0.03%
09/08/2022,"3,766.07","3,758.91","3,849.42","3,742.12",5.89B,1.01%,18.2281,0.06%
09/07/2022,"3,728.29","3,714.07","3,745.32","3,641.73",5.41B,0.68%,18.2174,0.02%
09/06/2022,"3,703.02","3,698.15","3,787.41","3,609.07",7.26B,0.92%,18.2146,0.02%
09/05/2022,"3,669.21","3,524.60","3,682.54","3,524.60",5.63B,5.01%,18.2108,0.18%
09/02/2022,"3,494.19","3,425.61","3,504.95","3,412.61",4.53B,2.75%,18.1777,-0.12%
09/01/2022,"3,400.55","3,445.74","3,455.79","3,382.76",4.56B,-1.56%,18.1993,0.07%
08/31/2022,"3,454.42","3,474.23","3,493.08","3,447.02",3.94B,-0.18%,18.1868,0.12%
08/30/2022,"3,454.42","3,474.23","3,493.08","3,447.02",3.94B,-0.18%,18.165,-0.07%
08/29/2022,"3,460.79","3,428.55","3,471.03","3,387.94",3.51B,0.92%,18.1772,0.19%
08/26/2022,"3,429.22","3,433.50","3,485.26","3,382.73",5.89B,0.28%,18.1433,-0.12%
08/25/2022,"3,419.52","3,341.75","3,431.68","3,340.27",4.57B,2.84%,18.1653,0.15%
08/24/2022,"3,325.16","3,413.66","3,435.86","3,321.11",3.64B,-2.20%,18.1386,0.23%
08/23/2022,"3,399.82","3,328.16","3,410.13","3,328.16",4.03B,2.40%,18.0973,0.27%
08/22/2022,"3,320.23","3,274.83","3,347.21","3,256.98",3.66B,1.26%,18.048,-0.20%
08/19/2022,"3,279.07","3,293.51","3,324.01","3,254.89",3.15B,-0.31%,18.085,0.43%
08/18/2022,"3,289.24","3,228.85","3,307.14","3,178.86",4.70B,1.85%,18.0075,0.40%
08/17/2022,"3,229.41","3,166.07","3,233.44","3,150.66",3.86B,2.68%,17.9349,0.14%
08/16/2022,"3,145.08","3,073.41","3,145.08","2,977.00",2.93B,2.55%,17.9095,-0.23%
08/15/2022,"3,066.79","3,099.62","3,108.72","3,053.81",1.76B,-0.66%,17.95,0.10%
08/12/2022,"3,087.02","3,107.19","3,136.09","3,062.03",2.42B,-0.48%,17.9324,-0.01%
08/11/2022,"3,101.90","3,069.41","3,115.66","3,061.81",2.77B,1.66%,17.9336,0.35%
08/10/2022,"3,051.15","2,988.19","3,051.34","2,974.05",2.43B,1.82%,17.8708,-0.11%
08/09/2022,"2,996.47","3,009.86","3,023.02","2,971.58",2.24B,-0.50%,17.8907,-0.11%
08/08/2022,"3,011.58","2,964.35","3,022.13","2,964.35",2.32B,1.87%,17.9106,0.00%
08/05/2022,"2,956.24","2,927.05","2,973.14","2,904.61",2.64B,1.19%,17.9101,-0.05%
08/04/2022,"2,921.48","2,895.73","2,935.66","2,895.73",1.76B,1.53%,17.9197,-0.09%
08/03/2022,"2,877.40","2,853.96","2,877.40","2,848.46",1.53B,1.58%,17.9367,0.06%
08/02/2022,"2,832.55","2,839.39","2,868.14","2,820.42",1.72B,-0.05%,17.9253,0.15%
08/01/2022,"2,834.09","2,760.45","2,836.06","2,760.45",1.71B,2.67%,17.8987,-0.07%
